DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 13:34:00.513   6753.410919671583           313.5077216346236           373.6239535640816           -0.552675753653363           4.919039834115691            5.862283394421411            26668029.53514979         -132728862.578354         -57544338.47577288        
01 Jan 2000 13:35:31.548   6667.286310780963           758.8526989845011           904.3654302645858           -1.337764458037657           4.856308514065804            5.787523118383781            26670741.29341843         -132728402.8679933        -57544139.1865475         
01 Jan 2000 13:37:02.583   6510.275123484848           1196.130648896609           1425.492998034573           -2.108631980099338           4.741944928923753            5.65122990492879             26673453.04917658         -132727943.1104986        -57543939.87691182        
01 Jan 2000 13:38:33.619   6284.045981553285           1620.692702762475           1931.466351008395           -2.857082933299193           4.577164468496356            5.454852199225111            26676164.80464222         -132727483.3054933        -57543740.54670262        
01 Jan 2000 13:40:04.654   5991.004506901273           2028.023533130677           2416.904331474084           -3.575157347818317           4.363719336250342            5.200478196049177            26678876.55147193         -132727023.4543918        -57543541.19653308        
01 Jan 2000 13:41:35.689   5634.268419448229           2413.790326510496           2876.643293388032           -4.255217003618816           4.10388041258343             4.890814225273322            26681588.27485266         -132726563.5597066        -57543341.8274923         
01 Jan 2000 13:43:06.725   5217.628189396303           2773.894581794212           3305.798833330866           -4.890036744724477           3.800408594786809            4.529150596163103            26684299.99494177         -132726103.618019         -57543142.43809836        
01 Jan 2000 13:44:37.760   4745.517450774821           3104.504792903399           3699.80474016857            -5.472862094727248           3.456533246904748            4.119335914920073            26687011.6884061          -132725643.6332872        -57542943.03006705        
01 Jan 2000 13:46:08.795   4222.949622798786           3402.110169344371           4054.477016717452           -5.997503959553464           3.0759060360899              3.665722068992364            26689723.39009313         -132725183.5995997        -57542743.60083577        
01 Jan 2000 13:47:39.830   3655.484460291153           3663.543965507577           4366.041682520496           -6.458379754164191           2.662576568647483            3.173135191242813            26692435.07818649         -132724723.5206574        -57542544.15200884        
01 Jan 2000 13:49:10.865   3049.153042249233           3886.027595560862           4631.187347929901           -6.850591171714322           2.22093775331404             2.646810546440132            26695146.76306851         -132724263.3946986        -57542344.68282258        
